TxFinish,Amount,Type,Service,Category
2023-10-01 12:48:08,13000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 12:49:44,1000,Deposit,MTN Uganda,Airtime
2023-10-01 12:51:48,10000,Deposit,Airtel Money,Mobile Money
2023-10-01 12:53:20,38000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 12:56:24,1000,Deposit,Airtel Money,Mobile Money
2023-10-01 12:57:11,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 12:57:57,500,Deposit,Airtel Internet,Internet
2023-10-01 13:03:35,1500,Deposit,Lycamobile,Airtime
2023-10-01 13:05:50,50000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 13:06:45,10500,Deposit,UMEME Yaka,Utilities
2023-10-01 13:07:32,10500,Deposit,UMEME Yaka,Utilities
2023-10-01 13:09:10,100000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 13:09:56,15000,Deposit,Lycamobile,Airtime
2023-10-01 13:18:30,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 13:21:41,90000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 13:22:35,130000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 13:23:42,10000,Deposit,Airtel Money,Mobile Money
2023-10-01 13:24:49,500,Deposit,Airtel Internet,Internet
2023-10-01 13:26:11,152000,Deposit,Airtel Money,Mobile Money
2023-10-01 13:27:01,2000,Deposit,Airtel Internet,Internet
2023-10-01 13:27:52,5000,Deposit,Airtel Internet,Internet
2023-10-01 13:32:44,1000,Deposit,MTN Uganda,Airtime
2023-10-01 13:33:42,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 13:34:32,13450,Deposit,MOGO,Loans
2023-10-01 13:35:56,2000,Deposit,Airtel Internet,Internet
2023-10-01 13:38:40,1500,Deposit,StarTimes TV,TV
2023-10-01 13:39:16,40000,Withdraw,Airtel Money,Mobile Money
2023-10-01 13:40:17,2000,Deposit,MTN Mobile Internet,Internet
2023-10-01 13:40:53,15000,Deposit,Lycamobile,Airtime
2023-10-01 13:41:49,5000,Deposit,Airtel Money,Mobile Money
2023-10-01 13:46:03,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 13:47:10,16000,Deposit,Airtel Money,Mobile Money
2023-10-01 13:52:24,500000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 14:04:34,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 14:40:39,50000,Withdraw,Airtel Money,Mobile Money
2023-10-01 14:43:49,35000,Withdraw,Airtel Money,Mobile Money
2023-10-01 14:45:09,6000,Withdraw,Airtel Money,Mobile Money
2023-10-01 14:50:22,20000,Deposit,Airtel Money,Mobile Money
2023-10-01 14:51:36,9000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 14:57:29,385000,Deposit,Airtel Money,Mobile Money
2023-10-01 14:58:48,1500,Deposit,Lycamobile,Airtime
2023-10-01 15:00:03,70000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 15:01:12,500,Deposit,MTN Mobile Internet,Internet
2023-10-01 15:02:57,58000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 15:03:51,200000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 15:06:11,42000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 15:07:50,29000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 15:08:43,20000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 15:09:31,15000,Deposit,Lycamobile,Airtime
2023-10-01 15:10:03,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 15:10:48,9000,Withdraw,Airtel Money,Mobile Money
2023-10-01 15:13:06,15700,Deposit,GOtv,TV
2023-10-01 15:14:50,15000,Deposit,Lycamobile,Airtime
2023-10-01 15:15:51,1000,Deposit,Airtel Internet,Internet
2023-10-01 15:22:05,1500,Deposit,Lycamobile,Airtime
2023-10-01 15:32:26,15000,Deposit,Lycamobile,Airtime
2023-10-01 15:33:15,80000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 15:34:01,1000,Deposit,Airtel Internet,Internet
2023-10-01 15:35:11,18000,Withdraw,Airtel Money,Mobile Money
2023-10-01 15:36:32,450000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 15:37:38,15000,Deposit,Lycamobile,Airtime
2023-10-01 15:38:13,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 15:39:16,3000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 15:39:56,142000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 15:41:01,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 15:42:03,6000,Deposit,Airtel Money,Mobile Money
2023-10-01 15:43:20,2000,Deposit,Airtel Money,Mobile Money
2023-10-01 15:44:36,50000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 15:46:05,197000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 15:47:50,26000,Deposit,Airtel Money,Mobile Money
2023-10-01 15:48:31,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 15:50:11,1500,Deposit,MTN Uganda,Airtime
2023-10-01 15:51:02,30000,Deposit,Airtel Money,Mobile Money
2023-10-01 15:53:13,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 15:54:20,1000,Deposit,Airtel Internet,Internet
2023-10-01 15:55:23,1000,Deposit,Airtel Internet,Internet
2023-10-01 15:56:43,250000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 16:03:38,15000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 16:05:36,11000,Deposit,Airtel Money,Mobile Money
2023-10-01 16:09:27,30000,Withdraw,Airtel Money,Mobile Money
2023-10-01 16:10:53,95000,Withdraw,Airtel Money,Mobile Money
2023-10-01 16:12:26,30000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 16:15:03,4000,Deposit,Airtel Money,Mobile Money
2023-10-01 16:15:55,11000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 16:16:34,40000,Withdraw,Airtel Money,Mobile Money
2023-10-01 16:21:04,15000,Deposit,UMEME Yaka,Utilities
2023-10-01 16:23:16,60000,Withdraw,Airtel Money,Mobile Money
2023-10-01 16:24:52,500,Deposit,MTN Mobile Internet,Internet
2023-10-01 16:25:24,1000,Deposit,Airtel Internet,Internet
2023-10-01 16:25:59,1500,Deposit,MTN Uganda,Airtime
2023-10-01 16:26:32,5000,Withdraw,Airtel Money,Mobile Money
2023-10-01 16:27:20,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 16:27:53,2000,Deposit,MTN Mobile Internet,Internet
2023-10-01 16:28:29,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 16:29:50,30000,Deposit,Lycamobile,Airtime
2023-10-01 16:34:01,10000,Deposit,Lycamobile,Airtime
2023-10-01 16:34:36,5000,Deposit,Lycamobile,Airtime
2023-10-01 16:35:10,1000,Deposit,MTN Uganda,Airtime
2023-10-01 16:36:02,100000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 16:40:55,16000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 16:43:00,336000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 16:47:54,60500,Deposit,MOGO,Loans
2023-10-01 16:50:20,93600,Deposit,MOGO,Loans
2023-10-01 16:52:38,5000,Deposit,Airtel Money,Mobile Money
2023-10-01 16:53:31,1000,Deposit,Airtel Internet,Internet
2023-10-01 16:54:15,1000,Deposit,Airtel Internet,Internet
2023-10-01 16:54:57,1000,Deposit,Airtel Internet,Internet
2023-10-01 16:57:30,1000,Deposit,MTN Uganda,Airtime
2023-10-01 17:08:09,25000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:09:00,10000,Deposit,Airtel Money,Mobile Money
2023-10-01 17:10:13,35000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:11:04,170000,Withdraw,Airtel Money,Mobile Money
2023-10-01 17:12:06,2000,Deposit,MTN Uganda,Airtime
2023-10-01 17:13:07,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:14:14,10000,Deposit,Airtel Money,Mobile Money
2023-10-01 17:16:41,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:18:13,25000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:20:03,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:22:41,410000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 17:33:09,100000,Deposit,Airtel Money,Mobile Money
2023-10-01 17:36:33,4300,Deposit,StarTimes TV,TV
2023-10-01 17:40:35,4000,Deposit,Airtel Money,Mobile Money
2023-10-01 17:44:17,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:45:22,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:46:24,1000,Deposit,Airtel Internet,Internet
2023-10-01 17:47:10,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:49:19,225000,Deposit,Airtel Money,Mobile Money
2023-10-01 17:50:28,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:51:22,8000,Withdraw,Airtel Money,Mobile Money
2023-10-01 17:52:13,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:53:20,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 17:54:21,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 17:55:43,500,Deposit,MTN Mobile Internet,Internet
2023-10-01 17:56:15,1000,Deposit,Airtel Money,Mobile Money
2023-10-01 17:58:24,2000,Deposit,MTN Mobile Internet,Internet
2023-10-01 17:59:26,1000,Deposit,Airtel Internet,Internet
2023-10-01 18:07:12,30000,Withdraw,Airtel Money,Mobile Money
2023-10-01 18:08:04,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 18:08:51,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 18:11:45,6000,Deposit,Airtel Money,Mobile Money
2023-10-01 18:13:45,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 18:16:46,53000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 18:18:24,15000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 18:19:35,11000,Deposit,UMEME Yaka,Utilities
2023-10-01 18:21:49,1000,Deposit,MTN Uganda,Airtime
2023-10-01 18:24:05,1000,Deposit,Airtel Internet,Internet
2023-10-01 18:28:08,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 18:32:01,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 18:33:30,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 18:34:20,1000,Deposit,Airtel Internet,Internet
2023-10-01 18:40:04,50000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 18:41:42,20000,Deposit,UMEME Yaka,Utilities
2023-10-01 18:42:39,2000,Deposit,Airtel Uganda,Airtime
2023-10-01 18:43:44,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 18:44:58,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 18:48:23,20000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 18:50:57,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 18:53:24,1000,Deposit,Airtel Internet,Internet
2023-10-01 18:54:16,2000,Deposit,Airtel Internet,Internet
2023-10-01 18:54:45,1000,Deposit,MTN Uganda,Airtime
2023-10-01 18:56:36,141000,Deposit,Airtel Money,Mobile Money
2023-10-01 18:58:47,1000,Deposit,Airtel Internet,Internet
2023-10-01 18:59:28,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 19:00:17,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 19:00:48,1000,Deposit,MTN Uganda,Airtime
2023-10-01 19:01:46,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:03:05,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:04:34,20000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:05:43,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 19:06:30,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 19:06:58,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 19:08:20,45000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:09:26,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:10:37,2000,Deposit,Airtel Money,Mobile Money
2023-10-01 19:11:12,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 19:15:55,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:18:47,15000,Deposit,Lycamobile,Airtime
2023-10-01 19:20:11,25000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 19:21:38,1000,Deposit,MTN Uganda,Airtime
2023-10-01 19:23:16,1000,Deposit,MTN Uganda,Airtime
2023-10-01 19:24:32,10000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 19:27:24,10000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 19:28:00,6000,Deposit,Airtel Money,Mobile Money
2023-10-01 19:28:57,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:30:39,10000,Withdraw,Airtel Money,Mobile Money
2023-10-01 19:31:55,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:32:46,18000,Withdraw,Airtel Money,Mobile Money
2023-10-01 19:36:18,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:37:03,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:38:42,500,Deposit,MTN Mobile Internet,Internet
2023-10-01 19:39:12,1000,Deposit,MTN Uganda,Airtime
2023-10-01 19:40:45,1000,Deposit,Airtel Internet,Internet
2023-10-01 19:41:28,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 19:42:08,6000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 19:42:49,2000,Deposit,Airtel Internet,Internet
2023-10-01 19:45:12,20000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:46:17,3000,Deposit,Airtel Uganda,Airtime
2023-10-01 19:47:45,23000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 19:49:00,2000,Deposit,MTN Uganda,Airtime
2023-10-01 19:49:54,1000,Deposit,Airtel Internet,Internet
2023-10-01 19:50:59,1000,Deposit,Airtel Internet,Internet
2023-10-01 19:52:46,31500,Withdraw,Airtel Money,Mobile Money
2023-10-01 19:54:58,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:55:52,560000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 19:57:45,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 19:58:53,100000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 20:01:12,30000,Deposit,UMEME Yaka,Utilities
2023-10-01 20:03:05,185000,Withdraw,Airtel Money,Mobile Money
2023-10-01 20:04:39,300000,Withdraw,Airtel Money,Mobile Money
2023-10-01 20:05:50,50000,Withdraw,Airtel Money,Mobile Money
2023-10-01 20:06:59,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 20:07:42,1000,Deposit,Airtel Internet,Internet
2023-10-01 20:08:34,20000,Deposit,UMEME Yaka,Utilities
2023-10-01 20:09:31,350000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 20:11:54,1000,Deposit,MTN Uganda,Airtime
2023-10-01 20:14:14,12000,Deposit,UMEME Yaka,Utilities
2023-10-01 20:15:18,5000,Deposit,Airtel Internet,Internet
2023-10-01 20:15:59,3000,Deposit,Airtel Uganda,Airtime
2023-10-01 20:17:44,112500,Deposit,URA,Taxes
2023-10-01 20:19:48,20000,Deposit,Airtel Money,Mobile Money
2023-10-01 20:20:50,15000,Deposit,Airtel Money,Mobile Money
2023-10-01 20:23:40,8000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 20:26:35,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 20:28:38,10000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 20:29:55,477500,Withdraw,Airtel Money,Mobile Money
2023-10-01 20:33:53,760000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 20:37:07,100000,Withdraw,Airtel Money,Mobile Money
2023-10-01 20:37:55,1000,Deposit,Airtel Internet,Internet
2023-10-01 20:39:29,8000,Deposit,Lycamobile,Airtime
2023-10-01 20:40:09,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 20:40:45,40000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 20:41:32,15000,Deposit,Lycamobile,Airtime
2023-10-01 20:43:08,15700,Deposit,GOtv,TV
2023-10-01 20:44:07,20000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 20:45:14,45000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 20:45:49,32000,Deposit,Airtel Money,Mobile Money
2023-10-01 20:47:36,15000,Deposit,Lycamobile,Airtime
2023-10-01 20:48:25,1000,Deposit,Airtel Money,Mobile Money
2023-10-01 20:49:06,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 20:49:44,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 20:51:04,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 20:53:11,1000,Deposit,MTN Uganda,Airtime
2023-10-01 20:53:38,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 20:54:10,15000,Deposit,Lycamobile,Airtime
2023-10-01 20:54:41,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 20:55:21,30000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 20:56:20,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 20:57:26,2000,Deposit,Airtel Money,Mobile Money
2023-10-01 20:58:11,18000,Withdraw,Airtel Money,Mobile Money
2023-10-01 20:59:44,20000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 21:02:02,20000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 21:02:59,500,Deposit,Airtel Uganda,Airtime
2023-10-01 21:04:09,10000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 21:04:47,15000,Deposit,Lycamobile,Airtime
2023-10-01 21:05:56,65000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 21:07:46,8000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 21:09:39,5000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 21:11:26,15000,Deposit,Lycamobile,Airtime
2023-10-01 21:12:21,1000,Deposit,Airtel Money,Mobile Money
2023-10-01 21:13:09,500,Deposit,Airtel Internet,Internet
2023-10-01 21:14:03,1500,Deposit,Lycamobile,Airtime
2023-10-01 21:16:26,700000,Deposit,Airtel Money,Mobile Money
2023-10-01 21:21:46,15000,Deposit,UMEME Yaka,Utilities
2023-10-01 21:23:11,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 21:26:11,2000,Deposit,MTN Mobile Internet,Internet
2023-10-01 21:28:19,500,Deposit,MTN Mobile Internet,Internet
2023-10-01 21:28:53,1000,Deposit,Airtel Internet,Internet
2023-10-01 21:30:02,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 21:31:03,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 21:33:20,5000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 21:33:53,4000,Deposit,Airtel Money,Mobile Money
2023-10-01 21:34:33,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 21:38:04,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 21:39:28,500,Deposit,Airtel Uganda,Airtime
2023-10-01 21:43:38,6000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 21:46:12,1000,Deposit,MTN Uganda,Airtime
2023-10-01 21:46:40,2000,Deposit,Airtel Uganda,Airtime
2023-10-01 21:50:11,1000,Deposit,Airtel Internet,Internet
2023-10-01 21:56:02,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 21:58:02,2000,Deposit,Airtel Money,Mobile Money
2023-10-01 21:59:08,15000,Withdraw,Airtel Money,Mobile Money
2023-10-01 22:01:50,1000,Deposit,UMEME Yaka,Utilities
